
Discussed topics
Concept,Relevance
ascend,0.6287482753558521
appropriate,0.6266023724768126
reduce,0.6257948577040656
sort,0.6257303098415774
comment,0.6202624397273176
differently,0.6181570790613978
addition,0.6171675530203435
course,0.6145299953969132
information,0.6071811855251323
identify,0.6044522152241839
combination,0.6019346715943399
definitely,0.5947621735649636
small,0.5942441063523842
trouble,0.593508803325942
fairly,0.5916419776286171
tell,0.5915493176388131
relevant,0.59059067067178
relatively,0.5901456837813438
instance,0.5887936827434479
operate,0.5872686372606096
directly,0.5867972214579235
component,0.5853300301624816
set,0.5825657850413342
knowledge,0.5772284779105326
build,0.576347134973388
factor,0.5759867363176885
function,0.5750300036361712
input,0.5742065130229599
type,0.5741935279682204
concept,0.5741530986888798
measure,0.5732744279848995
value,0.5725936313119012
particularly,0.5722698958627789
page,0.571874691669831
guess,0.571469414491175
relate,0.5688047311710656
version,0.5675649969273673
multiple,0.5658169787994226
match,0.5639435306008487
extra,0.5637482378204122
construct,0.5622369925853752
interpret,0.5610102231389366
prefer,0.5604505441440333
verify,0.5604210762347082
mistake,0.5595542455644501
achieve,0.5587481599809662
big,0.5566313390075427
obtain,0.5562115165116774
check,0.5521690644959414
implement,0.5482514436641477
move,0.5473707536630668
mention,0.5469088234057805
complex,0.5452897448132292
especially,0.5406002052714918
confuse,0.5400847433813809
technique,0.53959644708054
plug,0.5385629023690068
numerical,0.5371820124628327
model,0.537054631893415
orient,0.536973176815613
respectively,0.5365581238481706
completely,0.5355326562049344
belief,0.5344430110634438
isolate,0.5334841538532932
explanation,0.5317306242010312
record,0.5306926961339696
tab,0.5302845475561495
definition,0.5285989467718629
appreciate,0.5283268834119373
short,0.5281510400935663
pass,0.5271598338334447
attempt,0.5270185222236939
relationship,0.5268813801785148
compile,0.5250616257436849
simplify,0.5241887914767891
logic,0.5231875002870917
recommend,0.5230025880295779
app,0.5204062952159377
place,0.5195439609831194
ignore,0.5170573559683314
search,0.5168397864247902
delete,0.5123702116937183
experiment,0.5113669973932212
reverse,0.5109454556986339
manipulate,0.510560907423588
equal,0.5086235153153555
explore,0.5063638494072128
penalty,0.5063451460600538
spreadsheet,0.5059169619810101
parallel,0.5058256039512633
odd,0.5044921309418633
conceptually,0.5044754602319096
clear,0.5042495423361
google,0.5007071119074303
path,0.4988193105979056
module,0.49684477101889063
closely,0.4956631164642007
suppose,0.49516292099455866
speed,0.49503694902991846
entry,0.4948481813452134
supply,0.494185465437664
parameter,0.4939010457293202
depth,0.4925393978303368
scatter,0.49238551570434014
statement,0.4914002800127562
impression,0.49012888115949554
nowadays,0.49004438410527823
bottom,0.4893343449884249
tight,0.48888856749360904
loose,0.4877912249156197
introduction,0.4867919375064991
widely,0.4857796186081392
resolution,0.48413124621483233
primary,0.4840437319076278
exposure,0.4827308902191967
representation,0.4824532490659555
recalculate,0.4812097603976661
lump,0.47950619105531667
participant,0.4784610672351897
metric,0.4769494917781965
field,0.46941947558205466
distinguish,0.46896361426312444
mean,0.4675215097522925
yesterday,0.4653633734849696
associate,0.4635882299192767
folk,0.4631517561499369
reveal,0.4615076510350395
confirm,0.46138250596592245
graphic,0.46025760356864415
toy,0.4581883031581524
belong,0.4565558852547252
step,0.4549024709471237
physically,0.4532735387484815
initiate,0.45276559046640746
image,0.45255573525300763
deem,0.45099750799604726
pair,0.45055862996289076
unwanted,0.44705293801356144
advance,0.44653440553748375
serially,0.44255904153164666
sketch,0.44193280170795224
string,0.4416080020429723
fancy,0.4391542852029322
port,0.4378917283812715
hurdle,0.4374842853964583
table,0.43689927586104366
case,0.4327251111633832
helper,0.4321923967925931
season,0.4319873150283542
eager,0.4316242023382704
bump,0.42783591045768504
read,0.4243785576710214
describe,0.4225867334790539
complete,0.4206654961658972
heavy,0.4180408526846031
import,0.4176011498773735
bolt,0.4163034010042974
plain,0.412944155697726
name,0.40360587165692674
dear,0.39952811343549927
builder,0.39797814645693513
spirit,0.3972165956299852
possible,0.39642608483692005
acquaint,0.3930470550774425
sigh,0.39284001442269845
rename,0.39130663210220434
put,0.38347151689351167
important,0.3792548463483823
surrender,0.37551397499233413
oracle,0.37491724260213727
wording,0.3729597842499601
centrality,0.37231922681775376
lot,0.37226239329519367
potato,0.3681553902873799
allow,0.36380989808723035
sna,0.3632138083709558
hard,0.35438286984581985
really,0.35308318148760937
interest,0.35086268196346
alright,0.3486266139770507
come,0.34754385726110915
consider,0.34154542530263193
start,0.3336555249561939
ask,0.3329857936876886
require,0.32885791059158365
provide,0.3272107467140231
probably,0.3210749261229066
available,0.3134919931405506
difficult,0.311270337742938
research,0.3082994541587018
show,0.30582982794613
deal,0.30439997913728384
picture,0.30377796514912453
involve,0.3008663677126476
realize,0.29907085619519447
let,0.2933789324291948
size,0.2925122888579354
remember,0.2918733985561932
high,0.29040775691635234
chance,0.28207206120561806
turn,0.28121419542996395
explain,0.27959324868192587
key,0.2786863475118125
follow,0.27426626129030185
quite,0.26502427414986307
become,0.2649345829835194
begin,0.26413630410746125
agree,0.26119389423392353
pick,0.2592033447565187
line,0.257725491830271
top,0.24904723107983565
hope,0.247407624276931
lose,0.24705007291507045
support,0.24661741079785005
produce,0.2448487101253448
back,0.24381814559172968
state,0.24194592804803697
day,0.2361346756632413
world,0.23308155990771381
term,0.2313565709010722
receive,0.22046224628202696
low,0.2184396895059666
hand,0.20983800990228374
finally,0.19969072767014887
fine,0.1935998242234687
cause,0.1878137164941185
meet,0.18025194668766145
cover,0.1787696646091079
play,0.17844674653860004
week,0.16265308494659264
return,0.15413321284491813
nearly,0.1326489535330692
eigenvector,0.12103203413489062
courser,0.009463590589164156
Access,0.0
All,0.0
Andrew,0.0
Anonymous,0.0
Chrome,0.0
Clustering,0.0
Color,0.0
Column,0.0
Coursers,0.0
DATA,0.0
DIRECTLY,0.0
Data,0.0
Database,0.0
Emanuel,0.0
English,0.0
Excel,0.0
Expectation,0.0
External,0.0
FALSE,0.0
FaceBook,0.0
Free,0.0
Freeware,0.0
Google,0.0
Graph,0.0
Hardtop,0.0
ID,0.0
Import,0.0
Jaime,0.0
Jamie,0.0
King,0.0
Lai,0.0
later,0.0
Layout,0.0
Luck,0.0
MS,0.0
Maximization,0.0
Melvin,0.0
NULL,0.0
New,0.0
Nth,0.0
ORACLE,0.0
Open,0.0
Oracle,0.0
Python,0.0
Query,0.0
Quiz,0.0
Raymond,0.0
Res,0.0
Rose,0.0
SQL,0.0
Sarah,0.0
Select,0.0
Source,0.0
Spreadsheets,0.0
To,0.0
View,0.0
Visualization,0.0
Warren,0.0
amazing,0.0
confused,0.0
criterion,0.0
data,0.0
limited,0.0
means,0.0
networking,0.0
processing,0.0
revers,0.0
sharing,0.0
thinking,0.0
