SEP=;
type;keyword;lemma;pos;relevance
word;aggregate;aggregate;null;2.3778887226202294
word;dual;dual;null;2.369579529845017
word;processing;process;null;2.367442563465393
word;cost;cost;null;2.3652761659281465
word;networks;network;null;2.3615002498157907
word;formulation;formulation;null;2.3580349441686614
word;eliminate;eliminate;null;2.3575429234327627
word;factors;factor;null;2.354049011704045
word;revenue;revenue;null;2.3532157178358992
word;payments;payment;null;2.3460025890900322
word;depend;depend;null;2.342297931764863
word;similar;similar;null;2.3407415901187854
word;aspects;aspect;null;2.333451345146265
word;rational;rational;null;2.330794000683284
word;various;various;null;2.3296813909251193
word;settings;setting;null;2.323351630974489
word;marginal;marginal;null;2.3219087959606224
word;expectation;expectation;null;2.316921783523205
word;give;give;null;2.3144043764577393
word;systems;system;null;2.3072724757839627
word;problem;problem;null;2.3070714947047968
word;underlying;underlie;null;2.30438406783928
word;concept;concept;null;2.3022773117251574
word;general;general;null;2.3008494957675105
word;techniques;technique;null;2.2995081345566937
word;includes;include;null;2.2994091804951804
word;regardless;regardless;null;2.2969873448224285
word;fact;fact;null;2.2959607353542135
word;complete;complete;null;2.294013555620835
word;appropriate;appropriate;null;2.289235481356705
word;performance;performance;null;2.2879018186284026
word;computation;computation;null;2.2878319321312848
word;proposition;proposition;null;2.2854458054095317
word;minimum;minimum;null;2.283670050182509
word;generally;generally;null;2.283510714503992
word;conditions;condition;null;2.2771306085688248
word;significantly;significantly;null;2.276880296468287
word;sum;sum;null;2.2767173053066916
word;procedure;procedure;null;2.276235296549335
word;agents;agent;null;2.2680899135924864
word;previous;previous;null;2.2675681277368884
word;benefit;benefit;null;2.2656648064470906
word;certain;certain;null;2.2591919045806463
word;participants;participant;null;2.2484423025824776
word;previously;previously;null;2.2455555581105084
word;consideration;consideration;null;2.243152701111182
word;increasing;increase;null;2.2409679148025914
word;input;input;null;2.2391358347322607
word;overall;overall;null;2.238376548271816
word;requirement;requirement;null;2.23562606019301
word;accuracy;accuracy;null;2.2335562202870682
word;simply;simply;null;2.230792921258827
word;outputs;output;null;2.2293212449639244
word;available;available;null;2.2235904924208434
word;communication;communication;null;2.223546827634771
word;empirical;empirical;null;2.2122722037647815
word;initially;initially;null;2.2106536633844946
word;policy;policy;null;2.207454659633098
word;priority;priority;null;2.206841434717737
word;data;datum;null;2.2043879047332884
word;relevance;relevance;null;2.2029588838088356
word;restriction;restriction;null;2.201335038315303
word;minimized;minimize;null;2.201103126680395
word;connections;connection;null;2.196764757866902
word;positive;positive;null;2.1936368991014388
word;cooperation;cooperation;null;2.193047691504935
word;extensive;extensive;null;2.1917801746532897
word;demonstrates;demonstrate;null;2.191467522204723
word;present;present;null;2.1896421256841734
word;technology;technology;null;2.187853781649925
word;commitment;commitment;null;2.1851971600842335
word;parameter;parameter;null;2.18402900030812
word;reviews;review;null;2.179130447174502
word;interactions;interaction;null;2.1784651347728374
word;model;model;null;2.177448861284722
word;buyers;buyer;null;2.175357117595319
word;domain;domain;null;2.175336473034453
word;price;price;null;2.173229914249631
word;structure;structure;null;2.1724811752589064
word;markets;market;null;2.1709020652080313
word;compatible;compatible;null;2.1698785525301973
word;goal;goal;null;2.168635610227015
word;derive;derive;null;2.167802964195869
word;technical;technical;null;2.1666017582724453
word;currently;currently;null;2.1656028113760155
word;correlates;correlate;null;2.165006890241085
word;direct;direct;null;2.155567070026525
word;single;single;null;2.1529292174813333
word;scenarios;scenario;null;2.1510823911850503
word;related;relate;null;2.1463995191136886
word;section;section;null;2.1413569439774682
word;profile;profile;null;2.140984445461137
word;profits;profit;null;2.1388919081070568
word;equivalent;equivalent;null;2.132836856800141
word;important;important;null;2.132291363401368
word;constitute;constitute;null;2.1321148834310026
word;positions;position;null;2.132053498517596
word;choice;choice;null;2.127608133856531
word;deviation;deviation;null;2.1220586059994817
word;maintain;maintain;null;2.120696600724612
word;motivate;motivate;null;2.118404355160004
word;strategic;strategic;null;2.116292767806887
word;actions;action;null;2.113140968016465
word;potential;potential;null;2.1085688853471747
word;applications;application;null;2.107229212379556
word;discussed;discuss;null;2.1061907661370136
word;standard;standard;null;2.1060156224545703
word;effectiveness;effectiveness;null;2.101912488762396
word;allow;allow;null;2.0998004095538865
word;expected;expect;null;2.0991969509912543
word;interesting;interest;null;2.097894519968073
word;theoretical;theoretical;null;2.096414971577054
word;simplify;simplify;null;2.0945639655962665
word;economic;economic;null;2.0917394396253255
word;consequently;consequently;null;2.08974142816664
word;combination;combination;null;2.08833664748681
word;according;accord;null;2.0882369165033787
word;context;context;null;2.0863084741525784
word;proxies;proxy;null;2.0844299076341337
word;form;form;null;2.084190384123249
word;independently;independently;null;2.0841081049100927
word;sellers;seller;null;2.0803103285007003
word;different;different;null;2.07934882287448
word;entities;entity;null;2.077211158452459
word;decreased;decrease;null;2.076345773576725
word;needed;need;null;2.071936659040208
word;deviate;deviate;null;2.0712086168090487
word;associated;associate;null;2.0709798397626535
word;stating;state;null;2.0678224518448736
word;reasonable;reasonable;null;2.0604240405240866
word;stability;stability;null;2.0582026883664923
word;transitions;transition;null;2.057475767567106
word;contribution;contribution;null;2.057429168530927
word;reduced;reduce;null;2.05701914232551
word;characterizes;characterize;null;2.0550335632481516
word;unique;unique;null;2.053360317785489
word;framework;framework;null;2.051063723412343
word;participate;participate;null;2.049878763729323
word;independent;independent;null;2.0493929970710334
word;security;security;null;2.0469598659829
word;fully;fully;null;2.0459336264412675
word;chosen;choose;null;2.045753664770088
word;allocated;allocate;null;2.041477477665606
word;way;way;null;2.0406913804158986
word;random;random;null;2.03978647496438
word;original;original;null;2.0356030778938914
word;issue;issue;null;2.033260501158342
word;reduction;reduction;null;2.029003913625947
word;behavior;behavior;null;2.0257028096355403
word;future;future;null;2.0220478908834574
word;sufficient;sufficient;null;2.0217516170304775
word;knowledge;knowledge;null;2.021289038972666
word;welfare;welfare;null;2.019381930565385
word;possibility;possibility;null;2.0191248936784083
word;strictly;strictly;null;2.017380110005872
word;effective;effective;null;2.015450060643912
word;eliciting;elicit;null;2.014159337720203
word;rationality;rationality;null;2.0129277596720865
word;principles;principle;null;2.01061328239432
word;prediction;prediction;null;2.005448886377859
word;transactions;transaction;null;2.0052298707637783
word;response;response;null;2.0000852363693804
word;demand;demand;null;1.9965043266583165
word;continuous;continuous;null;1.9958407369870093
word;clearly;clearly;null;1.9949998273245888
word;namely;namely;null;1.994983073007412
word;budget;budget;null;1.9949017879041222
word;difference;difference;null;1.992886396919218
word;indicate;indicate;null;1.9871113364459383
word;statistical;statistical;null;1.9836186015524615
word;effect;effect;null;1.9778698431529003
word;illustrate;illustrate;null;1.9745023277907312
word;focuses;focus;null;1.9741063307264142
word;desired;desire;null;1.9713643408237356
word;distributed;distribute;null;1.9708167937231087
word;computational;computational;null;1.970579910512226
word;fairness;fairness;null;1.9661275144931494
word;subjective;subjective;null;1.9634865180431142
word;optimum;optimum;null;1.9630064407087777
word;scheduling;schedule;null;1.9592071699693363
word;situation;situation;null;1.95902400651804
word;arbitrarily;arbitrarily;null;1.958603587355282
word;submitted;submit;null;1.9581386596311972
word;discussion;discussion;null;1.9555433686107755
word;vertex;vertex;null;1.9554365837802257
word;updated;update;null;1.9550197326302303
word;goods;good;null;1.9537453129116764
word;explicit;explicit;null;1.9535573921452989
word;contradiction;contradiction;null;1.9514021628238627
word;useful;useful;null;1.9512039916149104
word;precisely;precisely;null;1.9480733184262835
word;management;management;null;1.9479467006501252
word;note;note;null;1.9477458902770162
word;feedback;feedback;null;1.9475391751887947
word;willingness;willingness;null;1.9460945070326365
word;recommended;recommend;null;1.9451397482103936
word;effectively;effectively;null;1.9446448584759046
word;reason;reason;null;1.9442094122993128
word;decision;decision;null;1.9439329988186151
word;individually;individually;null;1.9424065580732284
word;critical;critical;null;1.9420550582105556
word;constant;constant;null;1.9395682857831615
word;research;research;null;1.9387337083142684
word;configurations;configuration;null;1.938252208989309
word;feature;feature;null;1.9366469723890973
word;basis;basis;null;1.9327513642130962
word;approach;approach;null;1.9324873589793055
word;exact;exact;null;1.9320202287117023
word;efficiently;efficiently;null;1.9305432266624702
word;satisfy;satisfy;null;1.9294552627495043
word;actually;actually;null;1.9277186593807847
word;procurement;procurement;null;1.9247703906618037
word;equations;equation;null;1.9240401813168333
word;attempts;attempt;null;1.923793560745808
word;accepts;accept;null;1.9225755608698334
word;partial;partial;null;1.9213963217147765
word;uncertainty;uncertainty;null;1.9195240614747435
word;show;show;null;1.9194053437431322
word;discrete;discrete;null;1.918746798462131
word;simultaneously;simultaneously;null;1.9175215447634437
word;redistribution;redistribution;null;1.9173488054234
word;contrast;contrast;null;1.916760216134539
word;guarantee;guarantee;null;1.9123346715903755
word;extension;extension;null;1.911476600371869
word;improves;improve;null;1.9099226540605991
word;exceeds;exceed;null;1.9051965223724068
word;formulating;formulate;null;1.904752898710746
word;solution;solution;null;1.904097945186326
word;generalization;generalization;null;1.9037587174630548
word;interpretation;interpretation;null;1.9037082957502323
word;immediate;immediate;null;1.9028788482738819
word;theory;theory;null;1.9021452054703967
word;abstraction;abstraction;null;1.8983910949328824
word;levels;level;null;1.8969028282289466
word;identify;identify;null;1.8966530870877776
word;principal;principal;null;1.8944692211107854
word;referred;refer;null;1.8905951735968602
word;purpose;purpose;null;1.8887901803295295
word;proceedings;proceeding;null;1.888050850703714
word;manipulation;manipulation;null;1.8875513784798073
word;sharing;share;null;1.8869268655308777
word;negative;negative;null;1.8858829283788292
word;competition;competition;null;1.883508346396904
word;limitations;limitation;null;1.8834602437490966
word;dominant;dominant;null;1.882650983410998
word;rating;rate;null;1.8801734779831436
word;accurate;accurate;null;1.8801487620029331
word;setting;set;null;1.8785368321133744
word;observable;observable;null;1.874913757246114
word;works;work;null;1.8744000279177095
word;keywords;keyword;null;1.8738573323338958
word;prefers;prefer;null;1.8726848089570722
word;event;event;null;1.8715933925335209
word;effort;effort;null;1.8707136195277496
word;influence;influence;null;1.87060590535218
word;perspectives;perspective;null;1.8705148353194812
word;correlation;correlation;null;1.87014583503511
word;existence;existence;null;1.86916637079096
word;external;external;null;1.8681783527138343
word;subsequent;subsequent;null;1.8678006589285951
word;sufficiently;sufficiently;null;1.866935959211185
word;incorporating;incorporate;null;1.86545356165632
word;mutually;mutually;null;1.8621122679535818
word;assignment;assignment;null;1.8617141056988116
word;variation;variation;null;1.8580533980350582
word;identities;identity;null;1.8579135145388452
word;respective;respective;null;1.85762384921446
word;crucial;crucial;null;1.8533402584676357
word;relations;relation;null;1.852171975467876
word;simple;simple;null;1.8513815297315133
word;complex;complex;null;1.851207495691336
word;candidates;candidate;null;1.8483766581325127
word;gained;gain;null;1.8473149751105142
word;assessment;assessment;null;1.847043698286395
word;properties;property;null;1.8450433981432488
word;quality;quality;null;1.8438405795080446
word;established;establish;null;1.8432833162749136
word;personal;personal;null;1.8409006015470641
word;capacity;capacity;null;1.8367467482864157
word;quantities;quantity;null;1.8365806514937375
word;dimensions;dimension;null;1.8357365336101243
word;correct;correct;null;1.8354710841911441
word;success;success;null;1.8344727244903016
word;fundamental;fundamental;null;1.8332993966384044
word;advantage;advantage;null;1.8321119268332862
word;differ;differ;null;1.8301713691561052
word;evaluations;evaluation;null;1.829190303472682
word;extent;extent;null;1.8288241857442966
word;point;point;null;1.824741736198372
word;verify;verify;null;1.8233698316042761
word;final;final;null;1.8229543006633941
word;error;error;null;1.8202899690668168
word;directly;directly;null;1.8191658248125382
word;developed;develop;null;1.814832087849678
word;weights;weight;null;1.8141703572086818
word;equal;equal;null;1.8126443751569734
word;usually;usually;null;1.8124127850338616
word;interpreted;interpret;null;1.8090513706785942
word;rules;rule;null;1.803866809056864
word;zero;zero;null;1.8002289040202126
word;realistic;realistic;null;1.7984864998967471
word;difficult;difficult;null;1.7981587519928117
word;generated;generate;null;1.797963378181741
word;impact;impact;null;1.7978686605296408
word;bias;bias;null;1.795538568515821
word;products;product;null;1.7949259490965432
word;relationship;relationship;null;1.794865433542099
word;calculate;calculate;null;1.7947949426120566
word;advertisers;advertiser;null;1.7912652598503676
word;intelligence;intelligence;null;1.7866139584224925
word;respect;respect;null;1.7865530321743444
word;mathematical;mathematical;null;1.7842958347267843
word;occur;occur;null;1.7835689173201958
word;observation;observation;null;1.783244241880488
word;support;support;null;1.7811472854595063
word;insights;insight;null;1.7795861864201326
word;explicitly;explicitly;null;1.7787575943022231
word;constructed;construct;null;1.7781513798557336
word;proceeding;proceed;null;1.7774337041925485
word;relies;rely;null;1.7772194604827267
word;practical;practical;null;1.7770401318256157
word;segment;segment;null;1.773290254287423
word;target;target;null;1.7731420157217945
word;combining;combine;null;1.771661889584164
word;incumbents;incumbent;null;1.771353742281984
word;execution;execution;null;1.7710292415013051
word;intermediate;intermediate;null;1.769648435099669
word;fractional;fractional;null;1.7679875417156516
word;strict;strict;null;1.7665649717669187
word;respectively;respectively;null;1.766454116370285
word;classical;classical;null;1.7661192916311905
word;equally;equally;null;1.7643691643578958
word;described;describe;null;1.7633115326049755
word;justifying;justify;null;1.7631533445314946
word;improvements;improvement;null;1.7611944033125022
word;functional;functional;null;1.7611054641375365
word;inherent;inherent;null;1.760922115587969
word;execute;execute;null;1.7605250726286044
word;facilitating;facilitate;null;1.7585007150701493
word;number;numb;null;1.758145788461875
word;determination;determination;null;1.757078281460492
word;additionally;additionally;null;1.7557606976266316
word;viewed;view;null;1.7551325473494819
word;enables;enable;null;1.752618588946938
word;projection;projection;null;1.7523074207859513
word;propose;propose;null;1.7521077056902314
word;notation;notation;null;1.7515931784043044
word;purchasing;purchase;null;1.7503320320593556
word;completeness;completeness;null;1.7498550365370313
word;trends;trend;null;1.7482995520890279
word;contract;contract;null;1.7454601400043506
word;studied;study;null;1.7451092553146306
word;task;task;null;1.7444488653982013
word;absolute;absolute;null;1.7444441569826545
word;consequences;consequence;null;1.7440618985231966
word;exhibit;exhibit;null;1.7437545784925352
word;activity;activity;null;1.743010459269408
word;numerical;numerical;null;1.741767121444747
word;membership;membership;null;1.7412325272738227
word;induce;induce;null;1.7411339249348357
word;compatibility;compatibility;null;1.740458379695715
word;report;report;null;1.7373490094300768
word;operations;operation;null;1.73616302026845
word;international;international;null;1.7339923360385936
word;vary;vary;null;1.733283770206654
word;transformation;transformation;null;1.7326422232803216
word;selection;selection;null;1.7314890531811666
word;concerns;concern;null;1.7298807293590972
word;deterministic;deterministic;null;1.7286018888120673
word;summarize;summarize;null;1.7263717991771441
word;practice;practice;null;1.7255404791028672
word;emphasize;emphasize;null;1.7253949443992613
word;optimize;optimize;null;1.7253061416919622
word;graphical;graphical;null;1.7249326010539405
word;opinions;opinion;null;1.723799825071105
word;part;part;null;1.721729144959701
word;elimination;elimination;null;1.7213753624682606
word;means;mean;null;1.7199379431205084
word;binary;binary;null;1.7194202697410104
word;self;self;null;1.719178581230676
word;applicable;applicable;null;1.7182684485345312
word;formally;formally;null;1.7182460701955218
word;graph;graph;null;1.7167365840623892
word;integer;integer;null;1.7158798123993861
word;change;change;null;1.7121047521915072
word;comparing;compare;null;1.7107829780716608
word;figure;figure;null;1.7106804998931642
word;common;common;null;1.709968578344319
word;characteristic;characteristic;null;1.709103774782063
word;yield;yield;null;1.708258308367934
word;role;role;null;1.7063730122050962
word;dominated;dominate;null;1.7061382383788897
word;motivation;motivation;null;1.7050472449636231
word;symmetric;symmetric;null;1.7046723549620313
word;obvious;obvious;null;1.7038730634666175
word;measure;measure;null;1.7036854275664228
word;matrix;matrix;null;1.7026010541638894
word;equivalence;equivalence;null;1.701942208549211
word;mediators;mediator;null;1.701131507003374
word;offers;offer;null;1.69933457018097
word;corollary;corollary;null;1.699130904641466
word;unfortunately;unfortunately;null;1.6990130306220605
word;estimating;estimate;null;1.6987517747225747
word;commerce;commerce;null;1.6987161407274032
word;category;category;null;1.6971769104955088
word;simulations;simulation;null;1.6968189597217973
word;proved;prove;null;1.6965842302828604
word;characterization;characterization;null;1.6955365588510023
word;range;range;null;1.6951510429074952
word;perform;perform;null;1.6944444818882167
word;conditional;conditional;null;1.6942488750057159
word;voters;voter;null;1.6941380350735555
word;job;job;null;1.6938563940397968
word;recent;recent;null;1.6937456766141177
word;major;major;null;1.6927900628332981
word;analogous;analogous;null;1.6910579247936033
word;volume;volume;null;1.6909406380075476
word;highly;highly;null;1.685299952032465
word;incurring;incur;null;1.6851606665561907
word;due;due;null;1.6851380209124764
word;specification;specification;null;1.6848462090452565
word;received;receive;null;1.6825849590958424
word;threshold;threshold;null;1.6823331268525927
word;true;true;null;1.6810919226152987
word;incomplete;incomplete;null;1.6804065783981708
word;axiom;axiom;null;1.6765160031333048
word;suggests;suggest;null;1.6750857849210894
word;exchange;exchange;null;1.67365707835829
word;modified;modify;null;1.6730503242362338
word;phases;phase;null;1.6722696813825622
word;deal;deal;null;1.671594810652803
word;element;element;null;1.6711092245739245
word;financial;financial;null;1.6703117204737414
word;question;question;null;1.6691550128581358
word;reverse;reverse;null;1.6688566610806197
word;entire;entire;null;1.6651334921452303
word;induction;induction;null;1.6650843059388603
word;coalitions;coalition;null;1.6626773547726568
word;identical;identical;null;1.6603479231966878
word;details;detail;null;1.6600436474026032
word;fraction;fraction;null;1.6586156671263885
word;percentage;percentage;null;1.6576955178099408
word;coordinates;coordinate;null;1.6573968125139407
word;indexes;index;null;1.6572078100110466
word;finite;finite;null;1.654102738360451
word;tend;tend;null;1.6536893945941837
word;mutual;mutual;null;1.652985004958647
word;able;able;null;1.6520374975467016
word;services;service;null;1.650795747183239
word;notion;notion;null;1.6501978215413198
word;implicit;implicit;null;1.6500332622701313
word;literature;literature;null;1.6479787378004407
word;implications;implication;null;1.6476251048046435
word;adaptive;adaptive;null;1.6471450732195057
word;omitted;omit;null;1.6463465210196169
word;variability;variability;null;1.6461724578070704
word;separation;separation;null;1.6461623590535324
word;cooperate;cooperate;null;1.6456500263999991
word;sequential;sequential;null;1.6447110839069097
word;expert;expert;null;1.6418509021871766
word;monitor;monitor;null;1.6404166601318002
word;logical;logical;null;1.6365175879329983
word;consisting;consist;null;1.6318915668870213
word;mediate;mediate;null;1.6311637236298495
word;alternatively;alternatively;null;1.630356105503391
word;degree;degree;null;1.6302195605435141
word;turnover;turnover;null;1.6300950776163587
word;maximization;maximization;null;1.6282228757917547
word;collusion;collusion;null;1.6282055996502627
word;designer;designer;null;1.6281437563184342
word;electronic;electronic;null;1.625855405400007
word;taking;take;null;1.6245257337396863
word;surplus;surplus;null;1.6240513612328282
word;distinct;distinct;null;1.6235746327495433
word;reveal;reveal;null;1.622452345267589
word;list;list;null;1.6202189418475403
word;loss;loss;null;1.6198317106836946
word;relatively;relatively;null;1.619536215968769
word;precise;precise;null;1.618984991853391
word;obviously;obviously;null;1.61803775083964
word;protocol;protocol;null;1.6157451083208958
word;conforms;conform;null;1.6140538163482079
word;phenomenon;phenomenon;null;1.6129971179951
word;replacement;replacement;null;1.6108552539251106
word;aggregation;aggregation;null;1.6105442306520772
word;arguments;argument;null;1.6097861471916526
word;ultimately;ultimately;null;1.6087410582157775
word;adjustment;adjustment;null;1.6080228175369657
word;formulas;formula;null;1.6018993014861405
word;transfer;transfer;null;1.5990802472238375
word;public;public;null;1.5974786043070348
word;ability;ability;null;1.5955999678750463
word;formal;formal;null;1.5940288801023863
word;known;know;null;1.594016136854648
word;claim;claim;null;1.5930425564110404
word;informs;inform;null;1.5925123574921398
word;global;global;null;1.592289910155519
word;scores;score;null;1.5900007912191567
word;fitness;fitness;null;1.5892756994167607
word;extend;extend;null;1.5870412154973226
word;labeling;label;null;1.586190182814166
word;simplicity;simplicity;null;1.5839294409850013
word;construction;construction;null;1.5831545526753115
word;description;description;null;1.58119686235675
word;group;group;null;1.579999320347277
word;requested;request;null;1.5791165449383417
word;comparison;comparison;null;1.5785109309591334
word;affects;affect;null;1.5754487319034622
word;proportional;proportional;null;1.5748794764105742
word;coincide;coincide;null;1.574796474752207
word;beneficial;beneficial;null;1.5745561861940565
word;new;new;null;1.5737679461442966
word;large;large;null;1.5734275152942976
word;permit;permit;null;1.57239006586915
word;ranking;rank;null;1.5717479730980992
word;acceptable;acceptable;null;1.570870849981849
word;integral;integral;null;1.5708192850287432
word;subject;subject;null;1.5700050272918562
word;creating;create;null;1.568693451794153
word;decentralized;decentralize;null;1.565198064451391
word;evidence;evidence;null;1.5632690934121347
word;internal;internal;null;1.5616685306564655
word;contributes;contribute;null;1.5613595939077558
word;restrictive;restrictive;null;1.561270325334563
word;intuition;intuition;null;1.5587485096694158
word;inconsistent;inconsistent;null;1.5587076462266896
word;increment;increment;null;1.5586968976147801
word;fulfilled;fulfill;null;1.5579427633497511
word;interval;interval;null;1.5535399906671312
word;failure;failure;null;1.5533452069905525
word;current;current;null;1.5532606532503157
word;uniformly;uniformly;null;1.552570832006492
word;compensate;compensate;null;1.5521504346097594
word;utilize;utilize;null;1.5517924635078422
word;encodes;encode;null;1.551052370691732
word;essential;essential;null;1.54671660135456
word;difficulty;difficulty;null;1.5466185950665
word;size;size;null;1.546335988235449
word;separately;separately;null;1.5439711832750118
word;access;access;null;1.5435096215886772
word;risk;risk;null;1.5412890902212824
word;survey;survey;null;1.5409694375758027
word;source;source;null;1.5404155721137494
word;automated;automate;null;1.5400354817441202
word;importance;importance;null;1.5363958662795676
word;successfully;successfully;null;1.5344194226257026
word;typical;typical;null;1.5335482061364096
word;trading;trade;null;1.5334405663454649
word;numbers;number;null;1.5328130046201933
word;infinite;infinite;null;1.5321568627971893
word;approximately;approximately;null;1.5307370044475668
word;suitable;suitable;null;1.5301129101476045
word;straightforward;straightforward;null;1.5300493270913722
word;normal;normal;null;1.5292363460244982
word;cycle;cycle;null;1.5284994707893511
word;special;special;null;1.5269416556219964
word;easy;easy;null;1.5253408816625924
word;withdrawal;withdrawal;null;1.524128168783088
word;automatically;automatically;null;1.5237351557224181
word;fails;fail;null;1.523361141508638
word;assess;assess;null;1.5213583865742388
word;monetary;monetary;null;1.520328999406385
word;remains;remain;null;1.5183930463233712
word;supplier;supplier;null;1.5175420454899398
word;substitute;substitute;null;1.514027310131487
word;conclude;conclude;null;1.51391814108415
word;interfaces;interface;null;1.5137391071680626
word;mathematics;mathematics;null;1.511363128630024
word;enhanced;enhance;null;1.510135185300819
word;experimental;experimental;null;1.5095720168451234
word;sample;sample;null;1.5091118562935817
word;qualitative;qualitative;null;1.508819795538966
word;commonly;commonly;null;1.5063470908986096
word;local;local;null;1.5048580139029413
word;randomly;randomly;null;1.5045978345351658
word;discount;discount;null;1.5043299327091493
word;express;express;null;1.5027605749935269
word;defect;defect;null;1.4999640667766372
word;negligible;negligible;null;1.4987383347273535
word;convenient;convenient;null;1.497144063588558
word;controlled;control;null;1.4959872521867856
word;entries;entry;null;1.4954762508274677
word;statement;statement;null;1.4939739859014232
word;behavioral;behavioral;null;1.4914735670518335
word;manipulating;manipulate;null;1.4899557504889647
word;hypothesis;hypothesis;null;1.4885886797461894
word;variance;variance;null;1.4881169882082808
word;private;private;null;1.4880945229958393
word;incremental;incremental;null;1.4877195521121482
word;vote;vote;null;1.4865050738588128
word;predict;predict;null;1.485820034914826
word;person;person;null;1.483374348538173
